NGI ID	User ID	IsSingleCell	Kit	Sample	Genome	SampleName
P33410_1001	Q_B2_cell_01	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#01)
P33410_1002	Q_C2_cell_02	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#02)
P33410_1003	Q_D2_cell_03	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#03)
P33410_1004	Q_E2_cell_04	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#04)
P33410_1005	Q_F2_cell_05	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#05)
P33410_1006	Q_G2_cell_06	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#06)
P33410_1007	Q_H2_pos	FALSE	Qiagen	Control DNA	Mouse	Qiagen (Pos)
P33410_1008	Q_A3_cell_07	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#07)
P33410_1009	Q_B3_cell_08	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#08)
P33410_1010	Q_C3_cell_09	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#09)
P33410_1011	Q_D3_cell_10	TRUE	Qiagen	MM1S cell line	Human	Qiagen (Cell#10)
P33410_1012	Q_H3_10_cells	FALSE	Qiagen	MM1S cell line	Human	Qiagen (Bulk)
P33410_1013	B_A3_cell_01	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#01)
P33410_1014	B_A4_cell_02	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#02)
P33410_1015	B_B1_cell_03	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#03)
P33410_1016	B_B2_cell_04	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#04)
P33410_1017	B_B3_cell_05	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#05)
P33410_1018	B_B4_cell_06	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#06)
P33410_1019	B_C1_cell_07	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#07)
P33410_1020	B_C2_cell_08	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#08)
P33410_1021	B_C3_cell_09	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#09)
P33410_1022	B_C4_cell_10	TRUE	BioSkryb	MM1S cell line	Human	BioSkryb (Cell#10)
P33410_1023	B_H1_pos	FALSE	BioSkryb	Control DNA	Mouse	BioSkryb (Pos)
P33410_1024	B_H3_10_cells	FALSE	BioSkryb	MM1S cell line	Human	BioSkryb (Bulk)
